id,SalePrice
1461,120059.44575350643
1462,153169.45042342963
1463,175848.76620373092
1464,194811.90775179403
1465,196251.86430919217
1466,171529.8317891536
1467,174514.60232389797
1468,167384.57990281266
1469,189687.33007683957
1470,121575.00821039823
1471,189224.62322897214
1472,98739.9470101762
1473,97482.56124156645
1474,143252.84232656157
1475,113580.02764714973
1476,361634.39641350094
1477,253710.01937168848
1478,288301.8539447057
1479,280434.4382440197
1480,509675.2492180251
1481,326158.8666940017
1482,211958.09185451223
1483,172863.54571248623
1484,165587.96890774288
1485,181377.46591864203
1486,195650.50204136418
1487,332650.56564144057
1488,247915.10962886832
1489,194020.6552913135
1490,231058.577062097
1491,192046.94492800353
1492,90246.29267876207
1493,169742.6529984292
1494,288285.1061624195
1495,290537.95874007244
1496,232665.85748922217
1497,181404.7746865007
1498,170257.0110868625
1499,163244.25344658448
1500,162712.8223309914
1501,179564.18448033556
1502,153239.3715403806
1503,287281.14065481693
1504,240776.06821823173
1505,225926.6155610365
1506,186384.18815638594
1507,244591.3125623901
1508,193549.5809696014
1509,158736.1466681262
1510,142526.53932118832
1511,149416.9971138489
1512,170519.43120137625
1513,138863.1254626522
1514,140470.6175966265
1515,189626.54511102036
1516,153207.9252395868
1517,163663.64428790138
1518,129520.1397999304
1519,210742.58490821917
1520,129958.95812991494
1521,130795.21868677365
1522,173961.04881161937
1523,112615.21319867563
1524,123349.32474422919
1525,122987.27168208566
1526,110421.09272773012
1527,104086.75971376937
1528,140621.06362637607
1529,147075.45467399323
1530,186970.75069851746
1531,105672.78663022253
1532,94128.11073072856
1533,142577.7185690495
1534,126399.66906650344
1535,149223.215841009
1536,107207.34726414667
1537,56374.75572081926
1538,149528.3054025059
1539,176133.5287595595
1540,87785.45803498085
1541,133241.43335582866
1542,138679.6853595103
1543,199198.71985504858
1544,85608.55040193064
1545,113134.29097466334
1546,128175.48477632983
1547,131211.50197026497
1548,133635.7277444539
1549,119445.89927070918
1550,127504.04911032274
1551,102516.21319876166
1552,134514.2506296131
1553,144540.4189854776
1554,121011.33248758566
1555,159485.27983257567
1556,87950.70711511957
1557,97580.1264894313
1558,98869.70837562553
1559,72316.64591018503
1560,123666.59525899244
1561,113565.0554158827
1562,128621.00565509392
1563,121677.18226922938
1564,156980.15716741368
1565,144608.49387224147
1566,226469.6721799372
1567,75351.71435474184
1568,229302.77069003842
1569,123096.44644316885
1570,138601.17411167212
1571,122278.77539865489
1572,143982.8709928194
1573,231497.6873777652
1574,110349.26605593422
1575,228166.1105606471
1576,242694.59191501787
1577,179521.20312962207
1578,136880.19039531675
1579,147550.00698422507
1580,188618.62312927257
1581,150734.17345136005
1582,127448.44183193383
1583,299523.8440860182
1584,218368.05233317765
1585,141965.66257806597
1586,70395.04935621015
1587,102828.31777643412
1588,155322.33979083842
1589,93817.3187421297
1590,137816.12704979093
1591,95755.1128811819
1592,113909.9719697491
1593,122914.73570826098
1594,116486.14227206525
1595,99318.18172452784
1596,233372.31155865363
1597,187300.69927884176
1598,212304.46459179147
1599,164538.73990565236
1600,156725.4936297452
1601,63245.77424517857
1602,109784.14221841964
1603,81696.736441349
1604,261744.02998700214
1605,241882.3221754591
1606,167548.78703105607
1607,172090.87073560577
1608,210513.3952257123
1609,180766.12317856195
1610,152711.10548783836
1611,137620.0493683386
1612,168352.69982207462
1613,163851.50034420163
1614,122592.9623439234
1615,91227.33473130685
1616,80067.52651254478
1617,95491.96249030481
1618,126273.91636869645
1619,140850.74089949674
1620,130768.42186927107
1621,142062.91548848498
1622,140793.41167422605
1623,262982.2486168378
1624,210253.65980988584
1625,119206.29879187826
1626,167308.28805668402
1627,191194.93637082342
1628,272834.61272114766
1629,171192.76379208497
1630,355044.22037475684
1631,229419.56841616324
1632,239066.61399432528
1633,168163.27774703575
1634,184797.50763955346
1635,177289.50543371067
1636,153777.929114029
1637,191273.3445090278
1638,183187.0642133253
1639,180093.6817660081
1640,251803.51268384242
1641,174837.48612370034
1642,238562.41917420336
1643,219654.773469792
1644,232888.39357482875
1645,196290.53800819602
1646,157670.71876182442
1647,155379.30375817398
1648,128867.1814898643
1649,141308.8588296138
1650,114421.4709371973
1651,122260.08444343682
1652,99740.84802773748
1653,102151.53246292833
1654,144136.95364300927
1655,130195.76280737776
1656,139614.77253664788
1657,146122.80766499284
1658,144919.52514914484
1659,121508.7149694149
1660,146965.05701088734
1661,441629.2018643012
1662,400102.29677731625
1663,382254.7849644559
1664,533829.1939111643
1665,309371.6005121899
1666,325924.51856367505
1667,380162.80079635873
1668,342453.989126779
1669,303507.2289289216
1670,351129.76359329664
1671,265868.40507262625
1672,448322.660044495
1673,288981.81457732443
1674,248907.37007546925
1675,198667.50502854685
1676,195830.78047947524
1677,219114.85394065583
1678,485662.4009194325
1679,382521.5004742996
1680,335123.5226054153
1681,242864.06325243507
1682,310781.5542676987
1683,189829.16888044926
1684,176493.55045850476
1685,177754.41718813154
1686,170035.91319435922
1687,170842.8758572996
1688,193391.44422794206
1689,195930.24964838428
1690,197840.7796401055
1691,188046.23163644838
1692,255180.19359087286
1693,166510.609029855
1694,183307.32947415032
1695,162962.21888255604
1696,266013.20396868075
1697,167641.6755813282
1698,349298.6283123476
1699,315714.1760255232
1700,259688.9815682526
1701,272630.5664125123
1702,246592.70693958297
1703,248003.33496840682
1704,289573.97676697595
1705,243543.01687334257
1706,444798.14676471055
1707,209704.8248850906
1708,203051.27487261093
1709,271914.9066691521
1710,222455.9168435319
1711,263793.5685159512
1712,256348.9262259277
1713,263317.92335642
1714,222255.10530143144
1715,205540.40054560636
1716,184665.3207113764
1717,177339.76010956292
1718,136870.25400322658
1719,203363.61271399166
1720,236350.02448337368
1721,169433.03439393934
1722,125292.00948030021
1723,156098.11414746367
1724,204211.5099960471
1725,232657.62670111863
1726,186211.19086584623
1727,152194.43720724498
1728,177117.9683743558
